,drug_name,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,all,128,103,110,0.0,18,1.0,0.859375,0.9243697478991597
1,KYPROLIS,exact-meddra,104,103,96,,8,,0.9230769230769231,
2,KYPROLIS,non-meddra,25,103,15,,10,,0.6,
3,KYPROLIS,negated,0,103,0,,0,,,
4,KYPROLIS,discontinuous,3,103,0,,3,,0.0,
5,MULTAQ,all,39,30,38,0.0,1,1.0,0.9743589743589743,0.9870129870129869
6,MULTAQ,exact-meddra,26,30,26,,0,,1.0,
7,MULTAQ,non-meddra,13,30,12,,1,,0.9230769230769231,
8,MULTAQ,negated,0,30,0,,0,,,
9,MULTAQ,discontinuous,5,30,5,,0,,1.0,
10,JUBLIA,all,5,4,5,0.0,0,1.0,1.0,1.0
11,JUBLIA,exact-meddra,3,4,3,,0,,1.0,
12,JUBLIA,non-meddra,2,4,2,,0,,1.0,
13,JUBLIA,negated,0,4,0,,0,,,
14,JUBLIA,discontinuous,0,4,0,,0,,,
15,TEFLARO,all,30,29,30,0.0,0,1.0,1.0,1.0
16,TEFLARO,exact-meddra,26,29,26,,0,,1.0,
17,TEFLARO,non-meddra,4,29,4,,0,,1.0,
18,TEFLARO,negated,0,29,0,,0,,,
19,TEFLARO,discontinuous,0,29,0,,0,,,
20,DATSCAN,all,11,10,11,0.0,0,1.0,1.0,1.0
21,DATSCAN,exact-meddra,8,10,8,,0,,1.0,
22,DATSCAN,non-meddra,3,10,3,,0,,1.0,
23,DATSCAN,negated,0,10,0,,0,,,
24,DATSCAN,discontinuous,0,10,0,,0,,,
25,TIVICAY,all,45,51,40,6.0,5,0.8695652173913043,0.8888888888888888,0.8791208791208792
26,TIVICAY,exact-meddra,30,51,29,,1,,0.9666666666666667,
27,TIVICAY,non-meddra,15,51,11,,4,,0.7333333333333333,
28,TIVICAY,negated,0,51,0,,0,,,
29,TIVICAY,discontinuous,8,51,7,,1,,0.875,
30,TAFINLAR,all,112,67,86,0.0,26,1.0,0.7678571428571429,0.8686868686868687
31,TAFINLAR,exact-meddra,94,67,73,,21,,0.776595744680851,
32,TAFINLAR,non-meddra,18,67,13,,5,,0.7222222222222222,
33,TAFINLAR,negated,0,67,0,,0,,,
34,TAFINLAR,discontinuous,0,67,0,,0,,,
35,HORIZANT,all,27,26,27,0.0,0,1.0,1.0,1.0
36,HORIZANT,exact-meddra,26,26,26,,0,,1.0,
37,HORIZANT,non-meddra,1,26,1,,0,,1.0,
38,HORIZANT,negated,0,26,0,,0,,,
39,HORIZANT,discontinuous,0,26,0,,0,,,
40,IMBRUVICA,all,70,64,60,5.0,10,0.9230769230769231,0.8571428571428571,0.888888888888889
41,IMBRUVICA,exact-meddra,55,64,52,,3,,0.9454545454545454,
42,IMBRUVICA,non-meddra,15,64,8,,7,,0.5333333333333333,
43,IMBRUVICA,negated,0,64,0,,0,,,
44,IMBRUVICA,discontinuous,2,64,0,,2,,0.0,
